Количество комнат,Площадь (м²),Адрес,Цена ($),Цена (сом)
7,252,"Бишкек, ж/м Ала-Арча 2",310 000,26 901 800
7,210,"Бишкек, Арча-Бешик ж/м",258 000,22 389 240
3,50,"с. Бир-Булак, Капкараева",93 000,8 070 540
3,84,"с. Кара-Ой, фонтан+",95 000,8 244 100
5,150,"Бишкек, Рухий Мурас ж/м",178 000,15 446 840
5,80,с. Военно-Антоновка,75 000,6 508 500
3,100,"Бишкек, Нижний Токольдош",104 000,9 025 120
5,200,"Бишкек, с. Кок-Джар, Алапаева",175 000,15 186 500
7,250,"Шопоков, Ала-арчинская 23",180 000,15 620 400
3,110,"Бишкек, Ала-Тоо 3 ж-м, 2",90 000,7 810 200
2,55,"Бишкек, Алтын-Бешик ж/м",75 000,6 508 500
7,217,"Бишкек, Ак-Ордо ж/м",180 000,15 620 400
6,100,"с. Новопокровка, Линейная",67 000,5 814 260
7,260,"Бишкек, Учкун ж/м",250 000,21 695 000
5,65,"Бишкек, Кок-Жар ж/м, Тон",148 000,12 843 440
7,200,"с. Ленинское, 37",132 000,11 443 080
5,54,с. Александровка,90 000,7 810 200
7,482,"Бишкек, 12 м-н",550 000,47 729 000
7,300,"Бишкек, с. Кок-Джар",360 000,31 240 800
3,62,"Бишкек, Учкун ж/м, Путейская, 99",80 000,6 942 400
3,49,"Бишкек, Ак-Босого ж/м, Чуй 47 а, 13 а",47 000,4 078 660
7,300,"Бишкек, с. Орто-Сай, Иманалиева",325 200,28 220 856
2,65,"с. Сары-Ой, Нурдоолот, 90а/2",110 000,9 545 800
6,100,"Бишкек, с. Новопавловка",105 000,9 111 900
7,180,"Бишкек, Кара-Жыгач ж/м",215 000,18 657 700
5,100,"Бишкек, БГУ, Юдахина, 106",180 000,15 620 400
3,43,"Бишкек, с. Новопавловка, Почтовая, 30А",65 000,5 640 700
6,112,"Бишкек, Дордой ж/м, 14, 520",200 000,17 356 000
7,254,"Бишкек, Тоголок-Молдо - БЧК",260 000,22 562 800
7,240,"Бишкек, с. Новопавловка, Жетиген, 34",210 000,18 223 800
7,350,"Узген, Манаса, 207",200 000,17 356 000
7,180,"Бишкек, ж/м Биримдик Кут, 15",120 000,10 413 600
7,250,"Бишкек, Кара Дарыя, Шукурова",465 000,40 352 700
7,98,Ош,16 133,1 400 000
7,250,"Бишкек, с. Новопавловка, Пригородная, 27",320 000,27 769 600
5,153,с. Чок-Тал,214 200,18 588 276
7,530,"Бишкек, Ала-Арча ж/м, Балык Кумар",650 000,56 407 000
7,215,"Бишкек, Кок-Жар ж/м, Молдокулова",280 000,24 298 400
6,200,"Бишкек, с. Кок-Джар, Достук",265 000,22 996 700
3,45,"Бишкек, с. Аламудун, Иваницина",63 000,5 467 140
5,120,"Бишкек, Тенир-Тоо м-н, Эркеев Марс",229 000,19 872 620
5,75,"Бишкек, Токольдош ж/м, Октябрьская",90 000,7 810 200
6,291.8,"Бишкек, Джал-30 м-н, Таланта Сагындыкова",370 000,32 108 600
7,290,"Бишкек, Арча-Бешик ж/м, Садыбакасова",188 000,16 314 640
3,119.7,"с. Арашан, Кошокбека",155 000,13 450 900
6,150,"Бишкек, Арча-Бешик ж/м, Баба-Ата",345 000,29 939 100
7,80,"Бишкек, 110 квартал ж/м",85 000,7 376 300
7,288,"Бишкек, Карла Маркса",330 000,28 637 400
7,600,"Бишкек, Арча-Бешик ж/м",270 000,23 430 600
7,440,"Бишкек, Ак-Орго ж/м",200 000,17 356 000
7,180,"Бишкек, Арча-Бешик ж/м, абдрахманова-2",185 000,16 054 300
6,87,с. Байтик,82 500,7 159 350
7,230,"Бишкек, Ала-Тоо м-н, Сары Учкун",170 000,14 752 600
6,105,"Бишкек, Учкун ж/м",129 500,11 238 010
6,120,"Бишкек, Арча-Бешик ж/м",175 000,15 186 500
7,220,"Бишкек, Ак-Ордо 3 ж/м",93 000,8 070 540
3,103,"Бишкек, с. Аламудун",120 000,10 413 600
6,85.1,"Бишкек, Ынтымак ж/м, Чон-Арык",350 000,30 373 000
2,79.94,"с. Люксембург, Советская",54 000,4 686 120
7,300,"Бишкек, Алтын-Ордо ж/м",420 000,36 447 600
3,90,"Бишкек, Кок-Жар ж/м, Арстанбап",156 000,13 537 680
1,162,"Бишкек, Ала-Арча ж/м, Коттеджный городок Ордо",650 000,56 407 000
3,50,"Бишкек, с. Нижняя Ала-Арча, Киргизская",105 000,9 111 900
7,368.2,"Бишкек, Политех, Кудайбергенова",680 000,59 010 400
7,181.76,"Бишкек, с. Кок-Джар, Сайры Киизбаева",205 000,17 789 900
6,170,"Бишкек, Оскон-Ордо ж/м, Салкын-Тор 7-я",140 000,12 149 200
6,220,"Бишкек, Арча-Бешик ж/м",330 000,28 637 400
7,220,"Бишкек, Арча-Бешик ж/м",280 000,24 298 400
7,180,"Бишкек, Ала-Тоо м-н",110 000,9 545 800
7,200,"Бишкек, Киргизия 1 ж/м",385 000,33 410 300
7,500,"Бишкек, Арча-Бешик ж/м",850 000,73 763 000
7,280,"Бишкек, Арча-Бешик ж/м",650 000,56 407 000
5,70,"Бишкек, Боталиева - Тулебердиева, ужгородский переулок, 65",53 000,4 599 340
5,70,"Бишкек, Боталиева - Тулебердиева, Ужгородский переулок, 65",53 000,4 599 340
7,220,"Бишкек, Алтын-Ордо ж/м",250 000,21 695 000
7,264,"Бишкек, Рабочий Городок",235 000,20 393 300
7,210,"Бишкек, Кок-Жар ж/м, Кольбаев",460 000,39 918 800
5,74,"Бишкек, Пишпек ж/м, Тойгонбаева, 45",105 000,9 111 900
5,153,"Бишкек, Кара Дарыя, Белорусская",230 000,19 959 400
6,80,"Бишкек, Карла Маркса, Белорусская",220 000,19 091 600
7,160,"Токмок, Громова",119 000,10 326 820
6,175,"Бишкек, Арча-Бешик ж/м, кызыл суу 31",233 000,20 219 740
6,250,"Бишкек, с. Кок-Джар, Нурманбетова",275 000,23 864 500
6,200,"Бишкек, КНУ",355 000,30 806 900
5,100,"Бишкек, с. Чон-Арык, Северная",360 000,31 240 800
7,167,"Бишкек, Ак-Ордо ж/м, КУТ",175 000,15 186 500
2,72,"Бишкек, с. Кок-Джар",125 000,10 847 500
5,250,с. Байтик,230 000,19 959 400
6,158,"Бишкек, Арча-Бешик ж/м",165 000,14 318 700
7,255,"Бишкек, Арча-Бешик ж/м",307 000,26 641 460
7,250,"Бишкек, с. Новопавловка",140 000,12 149 200
7,208,"Бишкек, Оскон-Ордо ж/м",140 000,12 149 200
5,108,"Бишкек, Орок ж/м, Кочкор-Ата",152 000,13 190 560
5,190,"Бишкек, Учкун м-н",167 000,14 492 260
5,180,"Бишкек, с. Кок-Джар, Алапаева",161 000,13 971 580
7,150,"Бишкек, Ак-Орго ж/м, Лущихина Камбаркан",170 000,14 752 600
5,50,"Бишкек, с. Нижняя Ала-Арча",57 000,4 946 460
7,500,"Бишкек, Арча-Бешик ж/м",890 000,77 234 200
5,80,"Бишкек, Юг-2 м-н, Эгембердиева",210 000,18 223 800
7,280,"Бишкек, с. Кок-Джар, Кумушалиевой, 16",199 920,17 349 058
6,100,"Бишкек, Арча-Бешик ж/м, 1",260 000,22 562 800
6,100,"с. Военно-Антоновка, 1 мая",79 000,6 855 620
5,100,"с. Военно-Антоновка, Южная",95 000,8 244 100
7,160,"Бишкек, Советская - БЧК, Советская",70 000,6 074 600
2,40,"Бишкек, Ала-Тоо 3 ж-м, 16",60 000,5 206 800
3,43,"Бишкек, Боталиева - Тулебердиева",44 000,3 818 320
6,150,"Бишкек, с. Новопавловка, Ак-Шоола",150 000,13 017 000
5,105,"Дк ""Кегети""",129 000,11 183 010
5,200,"Бишкек, Айкол",280 000,24 298 400
3,70,"с. Арашан, 26",95 000,8 244 100
6,85,"Бишкек, Бакай-Ата ж/м",73 000,6 334 940
7,280,"Бишкек, ТЭЦ, Достоевского",310 000,26 901 800
3,100,"Бишкек, Дордой ж/м, 14, 497",150 000,13 003 500
7,190,"Бишкек, Арча-Бешик ж/м",235 000,20 393 300
6,75,"Бишкек, с. Аламудун",105 000,9 111 900
6,500,"Бишкек, Кок-Жар ж/м, Молдокулова, 12",175 000,15 186 500
5,115,"Бишкек, Колмо ж/м, Махатма Ганди, 400",200 000,17 356 000
7,180,"Бишкек, Горького - Панфилова, Панфилова",280 000,24 298 400
7,138,"Бишкек, Кожзавод",196 700,17 069 626
5,130,"Бишкек, Арча-Бешик ж/м, кара кужур",176 000,15 273 280
6,117,"Бишкек, Аламединский рынок, Курманжан Датка",105 000,9 111 900
2,80,"Бишкек, Махатма Ганди - БЧК, Ул.Осипенко, 109",140 999,12 235 893
3,78,с. Корумду (Иссык-Кульский р-н),142 000,12 322 760
5,190,"Бишкек, Арча-Бешик ж/м",157 000,13 624 460
7,282,"Бишкек, с. Аламудун, Гагарина",290 000,25 166 200
6,120,"Бишкек, Рухий Мурас ж/м",169 000,14 665 820
7,300,"Бишкек, Кара Дарыя",390 000,33 844 200
7,300,"Бишкек, Кок-Жар ж/м",400 000,34 712 000
7,301,"Бишкек, Арча-Бешик ж/м",340 000,29 505 200
6,120,"Бишкек, Арча-Бешик ж/м, абдрахманова",116 000,10 066 480
5,140,"Бишкек, Ак-Ордо ж/м",145 000,12 583 100
2,60,с. Байтик,130 000,11 281 400
6,102,"Бишкек, 110 квартал ж/м",58 500,5 076 630
6,250,"Бишкек, Рабочий Городок",275 000,23 864 500
7,300,"Бишкек, Арча-Бешик ж/м",360 000,31 240 800
7,310,"Бишкек, Арча-Бешик ж/м",395 000,34 278 100
6,327,"Бишкек, Арча-Бешик ж/м, Арча-Бешик 23-я",550 000,47 729 000
3,110,"Бишкек, с. Орто-Сай, Иманалиева",415 000,36 013 700
3,30,"Бишкек, Восточный автовокзал, Куренкеева",99 000,8 591 220
2,32.6,"Бишкек, Аламединский рынок, Славянская",80 000,6 942 400
6,80,"Бишкек, Ден Сяопина - Фучика, Сергея Лазо",210 000,18 223 800
3,89.8,"Бишкек, Джальская больница, Анарбека Бакаева",260 000,22 562 800
3,90,"с. Беш-Кунгей, 20",122 000,10 587 160
3,35.1,"Бишкек, Чуй - Алматинка, Ереванская",80 000,6 942 400
7,365,"с. Беш-Кунгей, Жумадила Жапарова",254 112,22 051 839
5,200,"Бишкек, Киргизия 1 ж/м",550 000,47 729 000
5,60,"Бишкек, Западный автовокзал",170 000,14 752 600
7,196,"Бишкек, Оскон-Ордо ж/м, 2 улица",170 000,14 752 600
5,156,"Бишкек, Ак-Ордо 3 ж/м, Барпы Алыкулова",150 000,13 017 000
5,86,Сокулук,60 000,5 206 800
1,29,"Бишкек, Политех, Ахунбаева",55 000,4 772 900
6,120,"Бишкек, Пишпек ж/м",130 000,11 281 400
7,150,"Бишкек, Ак-Орго ж/м, Ашар",155 000,13 450 900
6,275,"Бишкек, 4 м-н",275 000,23 864 500
5,100,"Бишкек, с. Орто-Сай, Иманалиева, 102",210 000,18 223 800
1,120,"Бишкек, Джальская больница, Ул. Ахунбаева, 178",432 127,37 500 000
6,120,"Каракол, Кутманалиева, 60",120 000,10 413 600
3,120,"с. Беш-Кунгей, ул.Масадыка, 67",370 000,32 108 600
5,130,"Бишкек, с. Селекционное, Достук, 77",180 000,15 620 400
5,45,с. Беш-Кунгей,225 000,19 525 500
7,153,"Бишкек, с. Новопавловка, с. Ново-Павловка, ул. Молодёжная, 6",150 000,13 017 000
5,100,село Ленинское,295 000,25 600 100
5,70,"Бишкек, с. Новопавловка, крупская",95 000,8 244 100
7,192,с. Массы,90 000,7 810 200
3,42,"Бишкек, Красный Строитель ж/м, Наманганская, 4",51 855,4 500 000
7,100,"Бишкек, с. Восток, Луговая, 13",74 902,6 500 000
7,310,"Бишкек, Киргизия 1 ж/м",630 000,54 671 400
7,300,"Бишкек, Ала-Арча 3",580 000,50 332 400
6,65,"Бишкек, Ынтымак ж/м, ул. Сакалдуу, 43",350 000,30 373 000
7,236,"Бишкек, Ден Сяопина - Фучика, Лесхозная",420 000,36 447 600
7,336,"Бишкек, Рухий Мурас ж/м, Проектируемая",300 000,26 034 000
5,85,"Бишкек, с. Чон-Арык, 31",220 000,19 091 600
5,120,"Бишкек, Арча-Бешик ж/м",255 000,22 128 900
7,310,с. Прохладное,169 000,14 665 820
6,150,"Бишкек, Махатма Ганди - БЧК",185 000,16 054 300
2,30,"Бишкек, БГУ",69 000,5 987 820
5,70,"Бишкек, Кудайберген",90 000,7 810 200
5,84,с. Сары-Ой,100 800,8 747 424
6,88,с. Сары-Ой,156 000,13 537 680
7,280,"Таш-Кумыр, Абдукеримова, 1/1",80 000,6 942 400
7,230,с. Кызыл-Туу,250 000,21 695 000
7,300,"Бишкек, Ак-Босого ж/м, чуй",126 500,10 977 670
7,617,"Бишкек, Арча-Бешик ж/м, Садырбаева",1 200 000,104 136 000
5,183,"Бишкек, с. Аламудун, гэс 2",122 000,10 587 160
7,241,"Бишкек, Арча-Бешик ж/м",285 000,24 732 300
6,241,с. Ленинское,230 000,19 959 400
5,100,"Бишкек, с. Маевка",52 000,4 512 560
5,100,"Бишкек, Белгородская, 38",150 000,13 017 000
5,75,"Бишкек, с. Мыкан",140 000,12 149 200
6,160,с. Ленинское,185 000,16 054 300
7,270,"с. Беш-Кунгей, Сагыналиева, 13/2",290 000,25 166 200
5,117,"Бишкек, Джальская больница, Ахунбанва",421 000,36 534 380
6,151,"Бишкек, Кара-Жыгач ж/м",310 000,26 901 800
7,250,"Бишкек, ж/м Ала-Арча 2, Матисакова",199 000,17 269 220
6,120,"Чолпон-Ата, Баласагына",128 000,11 107 840
5,75,"с. Гавриловка, Пушкина",112 000,9 719 360
6,120,"Бишкек, с. Верхний Орок, Богорная",115 000,9 979 700
6,200,"Бишкек, Арча-Бешик ж/м",190 000,16 488 200
6,230,"Бишкек, Ак-Ордо ж/м, Жолон",115 000,9 979 700
3,80,"с. Сары-Ой, Радуга, 25.1",185 000,16 054 300
6,275,"Бишкек, 4 м-н, Каралаева",300 000,26 034 000
7,300,с. Орто-Кайырма,149 804,13 000 000
5,160,"с. Таш-Добо, Кыдыралиева, 55",135 000,11 715 300
7,395,"Бишкек, Киргизия 1 ж/м, Таалай",550 000,47 729 000
7,240,"Бишкек, Карла Маркса",440 000,38 183 200
3,50,"с. Кара-Ой, Каусар пансионат",56 000,4 859 680
5,130,"Бишкек, Жибек-Жолу - Лермонтова",155 000,13 450 900
3,90,"с. Таш-Добо, Абыкан-Ата",130 000,11 281 400
7,300,"Бишкек, Арча-Бешик ж/м, 11-я",315 000,27 335 700
3,90,"с. Кызыл-Туу, Конок",70 000,6 074 600
5,80,"Бишкек, Кожзавод",72 000,6 248 160
7,550,"Турция, Анталия. Дёшемеалты, м-р Ешилбаир",1 150 000,99 693 500
3,64,"Бишкек, с. Сарбан, Земледелец, 41",30 000,2 603 400
7,400,"Джалал-Абад, шопоково, 51",150 000,13 017 000
6,150,"Бишкек, Кок-Жар ж/м, Ахунбаева",185 000,16 054 300
5,86,с. Сары-Ой,88 000,7 636 640
3,44,"Бишкек, Керамическая ж/м, kara jorgo",80 000,6 942 400
3,81,"с. Сары-Ой, Карвен 4 сезона",250 000,21 695 000
7,160,"Бишкек, Ак-Ордо ж/м, Лущихина",160 000,13 884 800
7,340,"с. Ленинское, центр, 37/1",180 000,15 620 400
7,330,"с. Беш-Кунгей, проектируемая, 4",265 000,22 996 700
6,120,"Бишкек, Ала-Тоо м-н",105 000,9 111 900
3,70,"Бишкек, Арча-Бешик ж/м",95 000,8 244 100
7,265,"Бишкек, Рабочий Городок, 68",250 000,21 695 000
6,180,с. Байтик,225 000,19 525 500
7,950,"Бишкек, Лебединовка, Ленина, 235,237",950 000,82 441 000
7,200,с. Тамга,110 000,9 545 800
5,175,"Бишкек, 6 м-н",360 000,31 240 800
3,500,"Бишкек, Келечек ж/м, 2, 9",130 000,11 281 400
5,150,с. Заречное,130 000,11 281 400
7,420,"Бишкек, с. Кок-Джар, Кок-жар",490 000,42 522 200
3,43,"Бишкек, с. Достук",39 000,3 384 420
6,90,"Бишкек, Арча-Бешик ж/м",99 000,8 591 220
5,80,"Бишкек, Кызыл-Аскер ж/м",105 000,9 111 900
7,208,"Бишкек, Оскон-Ордо ж/м",135 000,11 715 300
7,200,"Бишкек, Анар-Бак ж/м",165 000,14 318 700
7,110,"Бишкек, с. Маевка, Новая, 67",80 664,7 000 000
2,40,"Бишкек, с. Верхний Орок, куланбаев кожон",41 000,3 557 980
2,36,с. Кош-Коль,55 000,4 772 900
7,230,с. Беш-Кунгей,126 500,10 977 670
6,119,"Бишкек, Салам-Алик ж/м, Жерге тал",157 000,13 624 460
7,260,"Бишкек, Кок-Жар ж/м, Ж/м Кок-жар ул.Арстанбап",215 000,18 657 700
5,120,"Бишкек, Кок-Жар ж/м, Керемет, 106",190 000,16 488 200
3,100,"Бишкек, Ак-Ордо ж/м",98 000,8 504 440
5,88,"с. Сары-Ой, 3",150 000,13 017 000
6,111,"Джалал-Абад, 182",69 140,6 000 000
7,280,"Бишкек, Ак-Босого ж/м",78 500,6 812 230
6,150,"Бишкек, Душанбинка, худайбергенова",400 000,34 676 000
6,140,"Бишкек, с. Кок-Джар, Матыева., 11",280 000,24 298 400
7,120,с. Таш-Мойнок,120 000,10 413 600
7,150,"Бишкек, Рабочий Городок",235 000,20 393 300
5,102,Чолпон-Ата,163 200,14 162 496
7,180,"Бишкек, Ак-Ордо ж/м",118 000,10 240 040
5,50,"Каракол, Масалиева, 347",150 000,13 017 000
7,300,"Бишкек, Горького - Панфилова, Оренбургский, 10",220 000,19 091 600
3,70,"Бишкек, Арча-Бешик ж/м, Кара коо, 172",175 000,15 186 500
7,310,"Бишкек, Манаса-Кудрука, Кудрука, 31",550 000,47 729 000
6,180,"Бишкек, Рухий Мурас ж/м",85 000,7 376 300
3,66,с. Военно-Антоновка,60 000,5 206 800
7,120,"Бишкек, Ала-Тоо м-н, Улук-Тоо, 137",120 000,10 402 800
5,65.6,"Бишкек, Старый толчок, Саадаева",68 000,5 901 040
7,220,"Бишкек, Киргизия-2 м-н",270 000,23 430 600
3,120,с. Кара-Ой,240 000,20 827 200
3,130,"Бишкек, Арча-Бешик ж/м, ойсул ата",148 000,12 843 440
5,102,"Бишкек, Арча-Бешик ж/м, Абдрахманова 1",157 000,13 624 460
5,200,"Бишкек, Арча-Бешик ж/м",350 000,30 373 000
6,170,"Бишкек, Арча-Бешик ж/м, Кызыл-Адыр",185 000,16 054 300
6,331,"с. Таш-Добо, Кооперативная",350 000,30 373 000
6,125,"с. Бает, ул Акмарал 1/1",265 000,22 996 700
5,126,с. Байтик,150 000,13 017 000
3,42.8,"Бишкек, с. Аламудун, Панфилова",110 000,9 545 800
3,65,"Бишкек, Ак-Босого ж/м, чуй 46, 2",68 000,5 901 040
5,89,"Бишкек, Матросова, Исы Ахунбаева",420 000,36 447 600
5,100,"Бишкек, Джальская больница, Николая Островского",250 000,21 695 000
3,85,"Бишкек, Горького - Панфилова, Фатьянова",400 000,34 712 000
5,70,"Бишкек, с. Аламудун, Николая Гоголя",110 000,9 545 800
3,48.33,"с. Кировское (Ысык-Атинский р-н), Мичурина",75 000,6 508 500
6,256,"Бишкек, Магистраль",310 000,26 901 800
5,60,"Бишкек, с. Аламудун",120 000,10 413 600
5,65,"Кант, Пушкина, 150",57 000,4 946 460
5,70,"Бишкек, Киргизия 1 ж/м",400 000,34 712 000
7,112,"Бишкек, Ден Сяопина - Фучика, Брянская",145 000,12 583 100
6,96.1,"Бишкек, Кызыл-Аскер ж/м, Орозова",99 000,8 591 220
2,25.1,"Бишкек, Кызыл-Аскер ж/м, Казакова, 34",47 000,4 078 660
6,350,"Бишкек, Достук м-н, Фучика",90 000,7 810 200
7,350,"Бишкек, Ынтымак ж/м, Киргизия первая линия",610 000,52 935 800
3,50,"Бишкек, Рабочий Городок",48 500,4 208 830
6,180,"Бишкек, Кайынды ж/м",90 000,7 810 200
3,100,с. Арашан,120 000,10 413 600
7,200,"Бишкек, Ак-Ордо ж/м, Азия",130 000,11 281 400
3,130,с. Кара-Ой,260 000,22 562 800
5,75,"с. Кашка-Суу, Достук",86 000,7 463 080
3,173,"Бишкек, Айкол",260 000,22 562 800
6,240,"Бишкек, Советская - Скрябина, Уфимский пер.",320 000,27 769 600
3,68,"Бишкек, Алматинка - Магистраль, Майрам",138 000,11 975 640
6,180,"Бишкек, Ак-Тилек ж/м, Мажурум-Тал",135 000,11 715 300
7,175.8,"Бишкек, Карагачевая роща, Ангарский пер.",240 000,20 827 200
7,246,"Бишкек, Баха, Булана Насирова",300 000,26 034 000
6,250,"с. Беш-Кунгей, Проектируемая",245 000,21 261 100
5,110,"с. Байтик, пер Исмаилова",168 000,14 579 040
7,500,Токмок,700 000,60 746 000
6,225,"Бишкек, Мед. академия, Тыныстанова",300 000,26 034 000
6,120,"Бишкек, Карла Маркса, Уссурийский пер.",210 000,18 223 800
7,342,"Бишкек, Киргизия 1 ж/м, Чон-Арык",450 000,39 051 000
2,80,"Бишкек, с. Селекционное",100 000,8 678 000
6,190,"Бишкек, ж/м Биримдик Кут",120 000,10 413 600
7,300,"Бишкек, Арча-Бешик ж/м",340 000,29 505 200
5,70,"Бишкек, Рабочий Городок, красная",165 000,14 318 700
2,120,"Бишкек, Тынчтык м-н, Бакай",120 000,10 413 600
3,100,"Бишкек, Ынтымак ж/м, 60",295 000,25 600 100
7,130,"с. Новопокровка, Пушкина",180 000,15 620 400
5,500,"Бишкек, Джальская больница, Бакаева, 117",890 000,77 234 200
6,140,"Бишкек, Арча-Бешик ж/м",145 000,12 583 100
6,163,"Бишкек, с. Чон-Арык, Кожобергенова, 195",555 000,48 162 900
7,430,с. Байтик,500 000,43 390 000
6,252,"Бишкек, Махатма Ганди - БЧК",190 000,16 488 200
5,85,"Бишкек, Ала-Тоо м-н, Ала Тоо 1 ж/м",76 000,6 595 280
7,258,"Бишкек, 10 м-н, Джантошева",205 000,17 789 900
5,80,"Бишкек, Матросова, Сонкульский переулок",208 000,18 050 240
5,150,"Бишкек, Арча-Бешик ж/м, Куюкова",128 000,11 107 840
6,270,"Бишкек, Киргизия 1 ж/м",550 000,47 729 000
5,60,"Бишкек, с. Нижняя Ала-Арча",67 000,5 814 260
6,80,"Бишкек, Гагарина, Тойгонбаева",127 000,11 021 060
3,32,"Бишкек, Дордой ж/м",75 000,6 508 500
7,106,"с. Кунтуу, Дача Кун-Туу",62 000,5 380 360
7,330,"Бишкек, Киргизия 1 ж/м, самойленко",650 000,56 407 000
3,72.4,"Бишкек, Токольдош ж/м",105 000,9 111 900
7,240,"Бишкек, Кудайберген, власова, 42",215 000,18 657 700
6,155,"Бишкек, ж/м Ала-Арча 2",280 000,24 298 400
5,120,"Бишкек, Старый толчок, Чагай",137 000,11 888 860
7,330,"Бишкек, с. Кок-Джар",265 000,22 996 700
6,130,с. Новопокровка,180 000,15 620 400
7,140,"Бишкек, Пишпек ж/м",110 000,9 545 800
7,140,с. Новопокровка,140 000,12 149 200
3,45,"Бишкек, с. Маевка, Скворцова",35 000,3 037 300
5,80,"Бишкек, Аламединский рынок, Буденного",67 000,5 814 260
5,80,"Бишкек, с. Пригородное, Нижняя",68 000,5 901 040
3,80,"Бишкек, Т.Молдо",85 000,7 376 300
2,50,"Бишкек, Ак-Ордо ж/м, Гагарина",105 000,9 111 900
3,80,"с. Таш-Добо, с. Таш-Добо",130 000,11 281 400
6,84,"Бишкек, Карагачевая роща",85 000,7 376 300
3,48,"Бишкек, Салам-Алик ж/м, 8",92 000,7 983 760
5,132.3,"Бишкек, Ак-Босого ж/м, Чуй 56-я",170 000,14 752 600
7,300,"Бишкек, Арча-Бешик ж/м, Жазыйра",360 000,31 240 800
6,200,"Бишкек, Учкун-2 ж/м, Ынтымак",160 000,13 884 800
7,61.1,"Бишкек, Аламединский рынок, Печерский пер.",185 000,16 054 300
3,66,"Бишкек, Чуй - Алматинка, Абдумомунова",75 000,6 508 500
6,95.5,"Бишкек, Рабочий Городок, Барнаульский пер.",135 000,11 715 300
6,230,"Бишкек, Ак-Орго ж/м, Хан Тенир",170 000,14 752 600
6,120,"Бишкек, Матросова, Суванбердиева",395 000,34 278 100
7,330,"Бишкек, Арча-Бешик ж/м, Тыналиева",625 000,54 237 500
6,175,"Бишкек, Арча-Бешик ж/м",175 000,15 186 500
5,100,"Бишкек, Кара Дарыя",230 000,19 959 400
7,350,"Бишкек, Кара Дарыя, Сонкульский, 16",316 000,27 422 480
6,101.6,"Бишкек, Нижний Токольдош",96 000,8 330 880
6,237,"Бишкек, Ак-Орго ж/м, Саманчы жолу, 63",290 000,25 166 200
2,50,"Бишкек, Рухий Мурас ж/м, Проектируемая, 408",96 000,8 330 880
6,180,"Бишкек, Юг-2 м-н",328 000,28 463 840
7,262,"Бишкек, Арча-Бешик ж/м",310 000,26 901 800
7,300,"Бишкек, с. Кок-Джар, 146",300 000,26 034 000
7,320,"Бишкек, Алтын-Ордо ж/м",230 000,19 959 400
3,122,с. Байтик,140 000,12 149 200
5,185,"Кант, Мира, 21",160 000,13 884 800
6,200,"Бишкек, Келечек ж/м, 2, 43",125 000,10 847 500
6,180,"Бишкек, Баха",169 000,14 665 820
5,120,с. Сары-Ой,175 000,15 186 500
7,250,"Бишкек, 69-га, Шарапов Эсенбек, 50",129 000,11 194 620
3,80,"с. Военно-Антоновка, Ленина",59 500,5 163 410
5,120,"Чолпон-Ата, ул. Чекирова Сокина 39, 39",55 000,4 772 900
7,150,"Бишкек, Космос, ташиева, 65",290 000,25 166 200
5,45,"Бишкек, Ипподром",125 000,10 847 500
2,63,"Бишкек, Гагарина",149 000,12 930 220
3,250,"Бишкек, Советская - Щербакова",84 000,7 289 520
3,43,"Бишкек, Боталиева - Тулебердиева",40 000,3 471 200
3,140,"Бишкек, ТЭЦ",198 000,17 182 440
6,110,"Бишкек, с. Маевка, Молодёжная, 4",85 000,7 376 300
6,140,"Бишкек, СК. Тоо-Жели",130 000,11 281 400
3,100,"Бишкек, Ак-Жар ж/м, 25, 28",80 000,6 942 400
3,60,"Бишкек, Ак-Орго ж/м, Сары-Жаз",67 000,5 814 260
7,330,"Бишкек, Ынтымак ж/м, Азия, 25",615 000,53 369 700
5,100,"с. Байтик, 9",135 000,11 715 300
6,32,"Бишкек, Балбан-Таймаш ж/м",78 500,6 812 230
7,220,"Бишкек, Элебесова - Фере (Турбаза)",190 000,16 488 200
7,800,"с. Новопокровка, Кирова, 21",400 000,34 712 000
3,70,"с. Таш-Мойнок, праектирумая 5ая улица129",87 500,7 593 250
7,530,"Бишкек, с. Орто-Сай",880 000,76 366 400
7,303,"Бишкек, Матросова",300 000,26 034 000
6,170,"Бишкек, с. Селекционное, Кут",220 000,19 091 600
7,230,"Бишкек, Кок-Жар ж/м",307 500,26 684 850
6,363,с. Беш-Кунгей,235 000,20 393 300
6,51,"Бишкек, Аламединский рынок, Рыбинский пер.",98 000,8 504 440
7,285.5,"Бишкек, Рабочий Городок, Омский пер.",190 000,16 488 200
3,45,"Бишкек, Кудайберген, Очаковская",57 000,4 946 460
7,420,"Бишкек, Гоин, Мичурина",1 500 000,130 170 000
3,151,"Бишкек, СК. Тоо-Жели, Цветочная",230 000,19 959 400
5,112,"с. Военно-Антоновка, Токтогула",92 000,7 983 760
7,366,"с. Беш-Кунгей, Жумадила Жапарова",350 000,30 373 000
3,80,"с. Беш-Кунгей, Тепловик",130 000,11 281 400
7,166.54,"с. Ленинское, Солнечная",218 000,18 918 040
5,170,"Бишкек, с. Маевка, Молодой Гвардии",200 000,17 356 000
5,105,"Бишкек, с. Восток, 51",70 000,6 068 300
6,150,"Бишкек, с. Новопавловка",99 000,8 591 220
6,120,"Чолпон-Ата, Боконбаева",145 000,12 583 100
3,75,"д/т Горное, 6, 156",23 000,1 995 940
